,AIRPORT,AREA   CITY,AREA   CITY AND COUNTY,AREA   CITY AND COUNTY SEAT,AREA   CITY TOTAL,AREA   CONSOLIDATED,AREA   CONSOLIDATED CITY-BOROUGH,AREA   CSA,AREA   DENSITY,AREA   ESTIMATE 2018,AREA   ESTIMATE JULY 2017,AREA   FEDERAL CAPITAL CITY AND FEDERAL DISTRICT,AREA   HOME RULE MUNICIPALITY,AREA   INDEPENDENT CITY,AREA   LAND,AREA   METRO,AREA   METROPOLITAN CITY,AREA   RANK,AREA   STATE CAPITAL,AREA   STATE CAPITAL AND CITY,AREA   STATE CAPITAL AND CONSOLIDATED CITY-COUNTY,AREA   STATE CAPITAL CITY,AREA   STATE CAPITAL OF CONNECTICUT,AREA   SUMMER DST,AREA   TOWN,AREA   URBAN,AREA   URBAN1,AREA   URBAN2,AREA   WATER,AREA CODE,AREA RANK,BIOREGION,BIRD,BOROUGH,CHARTERED,CHARTERED CITY,CHARTERED TOWN,CITY AND COUNTY,CITY CHARTER,CITY FLOWER,CITY OF ATLANTA,CITY STATUS,CITY-COUNTY CONSOLIDATION,COMMISSIONED,COMMUTER RAIL,CONSOLIDATED,CONSTITUENT COUNTIES / BOROUGHS,COUNTIES,COUNTRY,COUNTY,COUNTY ROUTES,COUNTY SEAT1,COUNTY SEAT2,CSA,City,DEMONYM,DISTRICT,ELEVATION,ELEVATION MEAN,ELEVATIONLOWEST,ESTABLISHED,ESTABLISHED TWICKENHAM,ETHNICITY   ASIAN,ETHNICITY   BLACK,ETHNICITY   HISPANIC,ETHNICITY   SUMMER DST,ETHNICITY   WHITE,EXPRESSWAYS,FIPS CODE,FIPS CODE 0,FIRST SETTLED VILLAGE,FIRST SETTLEMENT,FLOWER,FORMALLY INCORPORATED TOWN,FOUNDATION,FOUNDED,FOUNDED AS,FOUNDED BY,FOUNDED:,FOUNDING,GDP,"GDP CITY, 2015",GEOCODE,"GMP METRO, 2017",GNIS  FEATURE ID,GNIS FEATURE ID,GNIS ID,GOVERNMENT   ACTING MAYOR AND VICE MAYOR,GOVERNMENT   ADMINISTRATOR,GOVERNMENT   ALASKA HOUSE,GOVERNMENT   ALASKA SENATE,GOVERNMENT   ALDERMEN,GOVERNMENT   ASSEMBLY MEMBERS,GOVERNMENT   ASSEMBLYMEMBER,GOVERNMENT   AUDITOR,GOVERNMENT   BODY,GOVERNMENT   BUSINESS ADMINISTRATOR,GOVERNMENT   CA ASSEMBLY,GOVERNMENT   CA SENATE,GOVERNMENT   CHIEF OF POLICE,GOVERNMENT   CITY ADMIN.,GOVERNMENT   CITY ADMINISTRATOR,GOVERNMENT   CITY ATTORNEY,GOVERNMENT   CITY AUDITOR,GOVERNMENT   CITY CLERK,GOVERNMENT   CITY CONTROLLER,GOVERNMENT   CITY COUNCIL,GOVERNMENT   CITY COUNCIL MEMBERS,GOVERNMENT   CITY MANAGER,GOVERNMENT   CITY MAYOR,GOVERNMENT   CITY PROSECUTOR,GOVERNMENT   CITY SOLICITOR,GOVERNMENT   CITY TREASURER,GOVERNMENT   CITY-PARISH PRESIDENT,GOVERNMENT   COMMISSION,GOVERNMENT   COMMISSIONERS,GOVERNMENT   COMMON COUNCIL,GOVERNMENT   COMPTROLLER,GOVERNMENT   COUNCIL,GOVERNMENT   COUNCIL CHAIR,GOVERNMENT   COUNCIL MEMBERS .MW-PARSER-OUTPUT .NOBOLD{FONT-WEIGHT:NORMAL}BY DISTRICT NUMBER,GOVERNMENT   COUNCIL PRESIDENT,GOVERNMENT   COUNCILMEMBER PLACE 1,GOVERNMENT   COUNCILMEMBER PLACE 2,GOVERNMENT   COUNCILMEMBER PLACE 3,GOVERNMENT   COUNCILMEMBER PLACE 4,GOVERNMENT   COUNCILMEMBER1,GOVERNMENT   COUNCILMEMBER2,GOVERNMENT   COUNCILMEMBER3,GOVERNMENT   COUNCILMEMBERS,GOVERNMENT   D.C. COUNCIL,GOVERNMENT   DELEGATE,GOVERNMENT   DEPUTY CITY MANAGER,GOVERNMENT   DEPUTY MAYOR,GOVERNMENT   FINANCE DIRECTOR,GOVERNMENT   FINANCE DIRECTOR/ TREASURER,GOVERNMENT   FIRE CHIEF,GOVERNMENT   GOVERNING BODY,GOVERNMENT   HOUSE,GOVERNMENT   HOUSES OF DELEGATES,GOVERNMENT   LEGISLATIVE,GOVERNMENT   MANAGER,GOVERNMENT   MAYOR,GOVERNMENT   MAYOR PRO TEM,GOVERNMENT   MAYOR PRO TEMPORE,GOVERNMENT   MAYOR PRO-TEM,GOVERNMENT   MAYOR-PRESIDENT,GOVERNMENT   METRO COUNCIL,GOVERNMENT   MUNICIPAL CLERK,GOVERNMENT   POLICE CHIEF,"GOVERNMENT   PRESIDENT, BOARD OF ALDERMEN",GOVERNMENT   SENATE,GOVERNMENT   STATE ASSEMBLY,GOVERNMENT   STATE ASSEMBLY MEMBERS,GOVERNMENT   STATE HOUSE,GOVERNMENT   STATE SENATE,GOVERNMENT   STATE SENATOR,GOVERNMENT   SUPERVISOR,GOVERNMENT   TEXAS STATE REPRESENTATIVE,GOVERNMENT   TEXAS STATE SENATOR,GOVERNMENT   TOWN CLERK,GOVERNMENT   TOWN MANAGER,GOVERNMENT   TREASURER,GOVERNMENT   TYPE,GOVERNMENT   U. S. REP.,GOVERNMENT   U.S. CONGRESS,GOVERNMENT   U.S. HOUSE,GOVERNMENT   U.S. REP.,GOVERNMENT   U.S. REPRESENTATIVE,GOVERNMENT   U.S. SENATE,GOVERNMENT   UNITED STATES REPRESENTATIVES,GOVERNMENT   VICE MAYOR,GOVERNMENT   VICE-MAYOR,GOVERNMENT   VIRGINIA SENATE,HIGHEST ELEVATION,HIGHEST ELEVATION– NEAR BLUE ISLAND,HIGHWAYS,HISTORIC COLONIES,HISTORIC COLONY,HISTORIC COUNTRIES,HISTORIC EMPIRES,HOME RULE ACT,INCORPORATED,INCORPORATED AS CITY,INCORPORATED AS TOWN,INCORPORATED CITY OF POMPANO BEACH,INCORPORATED CITY OF WEST PALM BEACH,INCORPORATED CITY,INCORPORATED INDEPENDENT CITY,INCORPORATED TOWN OF POMPANO,INCORPORATED TOWN OF WEST PALM BEACH,INCORPORATED TOWN,INCORPORATED VILLAGE,INCORPORATED AS A CITY,INCORPORATED AS A TOWN,INCORPORATED AS A VILLAGE,INCORPORATED TOWN,INCORPORATEDAS DERRYFIELD,INCORPORATEDAS MANCHESTER,"INCORPORATED, CITY","INCORPORATED, TOWN",INCORPORATED1,INCORPORATED2,INCORPORATED:,INCORPORATION,INDEPENDENT CITY,INTERSTATE,INTERSTATE HIGHWAYS,INTERSTATE SPURS,LARGEST BOROUGH BY AREA,LARGEST BOROUGH BY GDP 2015,LARGEST BOROUGH BY POPULATION,LIGHT RAIL,LOGO,LOWEST ELEVATION,LOWEST ELEVATION COLUMBIA RIVER,LOWEST ELEVATION– AT LAKE MICHIGAN,MAJOR AIRPORT,MAJOR HIGHWAYS,MAJOR STATE HIGHWAYS,MAJOR STATE ROADS,MAJOR STATE ROUTES,MARTHASVILLE,METRO,METROPOLITAN AREA,METROPOLITAN STATISTICAL AREA,MISSION,MSA,MUNICIPAL INCORPORATION,MUNICIPALITY,NAMED,NAMED FOR,OFFICIAL TREE,ORGANIZED,OTHER MAIN ROADWAYS,OTHER MAJOR HIGHWAYS,PARISH,PARISHES,PASSENGER RAIL,PLATTED,POPULATION   BALANCE,POPULATION   CHANGE 2011–2014,POPULATION   CITY,POPULATION   CITY AND COUNTY,POPULATION   CITY AND COUNTY SEAT,POPULATION   CITY TOTAL,POPULATION   CONSOLIDATED,POPULATION   CONSOLIDATED CITY-BOROUGH,POPULATION   CONSOLIDATED CITY-COUNTY,POPULATION   CONSOLIDATED CITY-PARISH,POPULATION   CONSOLIDATED CITY–COUNTY,POPULATION   CSA,POPULATION   CSA 2015,POPULATION   CSA 2017,POPULATION   CSA 2018,POPULATION   CSA DENSITY,POPULATION   CSRA,POPULATION   DEMONYM,POPULATION   DENSITY,POPULATION   DENSITY RANK,POPULATION   ESTIMATE 2013,POPULATION   ESTIMATE 2014,POPULATION   ESTIMATE 2015,POPULATION   ESTIMATE 2016,POPULATION   ESTIMATE 2017,POPULATION   ESTIMATE 2018,POPULATION   ESTIMATE 2019,"POPULATION   ESTIMATE APRIL 1, 2019",POPULATION   ETHNICITIES,POPULATION   FEDERAL CAPITAL CITY AND FEDERAL DISTRICT,POPULATION   GMP,POPULATION   HOME RULE MUNICIPALITY,POPULATION   INDEPENDENT CITY,POPULATION   METRO,POPULATION   METRO DENSITY,POPULATION   METROPOLITAN CITY,POPULATION   MSA,POPULATION   MSA 2015,POPULATION   MSA 2017,POPULATION   MSA 2018,POPULATION   RANK,POPULATION   STATE CAPITAL,POPULATION   STATE CAPITAL AND CITY,POPULATION   STATE CAPITAL AND CONSOLIDATED CITY-COUNTY,POPULATION   STATE CAPITAL CITY,POPULATION   SUMMER DST,POPULATION   TOTAL,POPULATION   TOWN,POPULATION   URBAN,POPULATION   URBAN 2010,POPULATION   URBAN DENSITY,POPULATION 2010,PRIMARY AIRPORT,PUBLIC TRANSIT,PUBLIC TRANSPORTATION,PUEBLO,PUEBLO FOUNDED,RAIL,RAILWAY STATION,RAPID TRANSIT,RE-INCORPORATED,RE-INCORPORATED AS CITY,REGION,REGIONAL RAIL,REINCORPORATED,RENAMED,RENAMED EL PASO,RESIDENCE ACT,SEAPORTS,SECONDARY AIRPORT,SETTLED,SETTLED LAKE WORTH COUNTRY SETTLEMENT,SETTLED POMPANO SETTLEMENT,SETTLED TOWN,SETTLED AS,SETTLED AS FRANKLIN,SISTER CITIES,SPHERE OF INFLUENCE,STANDARD OF LIVING    MEDIAN HOME VALUE,STANDARD OF LIVING    MEDIAN HOUSEHOLD INCOME,STANDARD OF LIVING    SUMMER DST,STATE,STATE ROUTES,TERMINUS,TIME ZONE,TOWN LAID OUT,TOWNSHIP,TRANSIT,TREE,U.S. HIGHWAYS,U.S. ROUTE,U.S. STATE,UNINCORPORATED,UNOFFICIALLY INCORPORATED VILLAGE,USDA HARDINESS ZONES,WATERWAYS,WEBSITE,WIKIMEDIA COMMONS,ZIP CODE,ZIP CODE PREFIXES,FEDERAL INFOR MATION PROCESSING STANDARDS|FIPS CODE,AREA CONSOLIDATED CITY-COUNTY,AREA TOTAL
0,,,,,,,,,,,,,,,302.643 sq mi (783.84 km2),"13,318 sq mi (34,490 km2)",,,,,,,,,,,,,165.841 sq mi (429.53 km2),"212/646/332, 718/347/929, 917",,,,,,,,,,,,,,,"LIRR, Metro-North, NJ Transit",1898,Bronx (The Bronx)Kings (Brooklyn)New York (Manhattan)Queens (Queens)Richmond (Staten Island) ,, United States,,,,,,New York City,New Yorker,,33 ft (10 m),,,,,,,,,,,36-51000,,,,,,,,,,,,,US$807 billion,,US$1.7 trillion,,975772,,,,,,,,,,New York City Council,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bill de Blasio (D),,,,,,,,,,,,,,,,,,,,,Mayor–Council,,,,,,,,,,,,,,New NetherlandProvince of New York,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Queens – 109 square miles (280 km2),Manhattan – US$630 billion,"Brooklyn (2,636,735 – 2015 est)",,,,,,"John F. Kennedy International Airport, Newark Liberty International Airport, LaGuardia Airport",,,,,,,,,,,,,,"James, Duke of York",,,,,,,,,,,,,,,,,,,,,,,"22,679,948   (1st)",,,,"27,751/sq mi (10,715/km2)",,,,,,,"8,398,748",,,,,,,,,,,,,,"19,979,477 (1st)","1st, U.S.",,,,,UTC−04:00 (EDT),"8,175,133",,,,,,,,,,,,,"Subway, Staten Island Railway, PATH",,,Mid-Atlantic,,,,,,,,1624,,,,,,,,,,, New York ,,,UTC−05:00 (EST),,,,,,,,,,,,NYC.gov,,"100xx–104xx, 11004–05, 111xx–114xx, 116xx",,,,"468.484 sq mi (1,213.37 km2)"
1,,,,,,,,,,,,,,,"468.74 sq mi (1,214.03 km2)",,,,,,,,,,,,,,34.02 sq mi (88.12 km2)  6.7%,"213/323, 310/424, 747/818",,,,,,,,,,,,"May 23, 1835",,,,,,, United States,Los Angeles,,,,Los Angeles-Long Beach,Los Angeles,Angeleno,,305 ft (93 m),,,,,,,,,,,06-44000,,,,,,,,,,,,,,,,,"1662328, 2410877",,,,,,,,,,Los Angeles City Council,,,,,,,Mike Feuer (D),,,Ron Galperin (D),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Eric Garcetti (D),,,,,,,,,,,,,,,,,,,,,Mayor-Council-Commission,,,,,,,,,,,"5,074 ft (1,547 m)",,,,,,,,"April 4, 1850",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0 ft (0 m),,,,,,,,,,,,,Los Angeles-Long Beach-Anaheim,,,,"Our Lady, Queen of the Angels",,,,,,,,,,,,,,,,,,,,"18,679,763 (U.S.: 2nd)",,,,,,,"8,483.02/sq mi (3,275.32/km2)",,,,,,,"3,990,456",,,,,,,,"13,131,431 (U.S.: 2nd)",,,,,,,"1st, California2nd, U.S.",,,,,UTC−07:00 (PDT),"3,792,621",,"12,150,996",,,,,,,"September 4, 1781",,,,,,,,,,,,,,,,,,,,,,,,,, California,,,UTC−08:00 (Pacific),,,,,,,,,,,,Official website ,," List 90001–90084, 90086–90089, 90091, 90093–90097, 90099, 90101–90103, 90174, 90185, 90189, 90291–90293, 91040–91043, 91303–91308, 91311, 91316, 91324–91328, 91330, 91331, 91335, 91340, 91342–91349, 91352–91353, 91356–91357, 91364–91367, 91401–91499, 91504–91505, 91601–91609  ",,,,"502.76 sq mi (1,302.15 km2)"
2,,234.14 sq mi (606 km2),,,,,,,,,,,,,227.34 sq mi (588 km2),"10,874 sq mi (28,160 km2)",,,,,,,,,,"2,122 sq mi (5,496 km2)",,,6.80 sq mi (17.62 km2)  3.0%,312/872 and 773/872,,,,,,,,,,,,,,,,,,"Cook, DuPage", United States,,,,,,Chicago,Chicagoan,,,594 ft (181 m),,,,,,,,,,17-14000,,,,,,,,,Jean Baptiste Point du Sable,,,,,,,,0428803,,,,,,,,,,Chicago City Council,,,,,,,,,Anna Valencia (D),,,,,,,,Melissa Conyears-Ervin (D),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lori Lightfoot (D),,,,,,,,,,,,,,,,,,,,,Mayor–council,,,,,,,,,,,,672 ft (205 m),,,,,,,,,,,,"March 4, 1837",,,,"August 12, 1833",,,,,,,,,,,,,,,,,,,,,,,,,578 ft (176 m),"Chicago O'Hare, Chicago Midway",,,,,,,,,,,,,,Miami-Illinois: shikaakwa(wild onion or wild garlic),,,,,,,,,,,"2,695,598",,,,,,,,,"9,901,711 (US: 3rd)",,,,,,,"11,898/sq mi (4,593.95/km2)",,,,,,,"2,705,994",,,,,,,,"9,533,040 (3rd)",,,,,,,"3rd, U.S.",,,,,UTC−05:00 (Central),,,"8,667,303",,,,,,,,,,,,,,,,,,,,,,circa 1780,,,,,,,,,,, Illinois,,,UTC−06:00 (Central),,,,,,,,,,,,www.cityofchicago.org,,,"606xx, 607xx, 608xx",,,
3,,"637.4 sq mi (1,623.92 km2)",,,,,,,,,,,,,"599.59 sq mi (1,552.9 km2)","1,062 sq mi (2,750 km2)",,,,,,,,,,,,,,"713, 281, 832, 346",,,,,,,,,,,,,,,,,,"Harris, Fort Bend, Montgomery", United States,,,,,,Houston,,,80 ft (32 m),,,,,,,,,,,48-35000,,,,,,,,,,,,,,,,,1380948,,,,,,,,,,Houston City Council,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sylvester Turner (D),,,,,,,,,,,,,,,,,,,,,Mayor–council,,,,,,,,,,,,,,,,,,,"June 5, 1837",,,,,,,,,,,,,,,,,,,,,,,,   ,,,,,,,,,,,"George Bush Intercontinental Airport (IAH), William P. Hobby Airport (HOU)",,,,,,,,,,,,,,Sam Houston,,,,,,,,,,,"2,099,451",,,,,,,,,,,,,,,Houstonian,"3,660/sq mi (1,414/km2)",,,,,,,"2,328,419",,,,,,,,"6,997,384 (5th U.S.)",,,,,,,US: 4th,,,,,UTC−5 (CDT),,,"4,944,332 (7th U.S.)",,,,,,,,,,,  ,,,,,,,,,,,,,,,,,,,,,, Texas,,,UTC−6 (CST),,,,,,  ,,,,,,houstontx.gov,,"770xx, 772xx (P.O. Boxes)",,,,
4,,,,,,,,,,,,,,,"517.64 sq mi (1,340.69 km2)","14,565.76 sq mi (37,725.1 km2)",,,"518.90 sq mi (1,343.94 km2)",,,,,,,,,,1.25 sq mi (3.25 km2), East: 480 Central: 602 West: 623 ,,,,,,,,,,,,,,,,,,, United States,Maricopa,,,,,Phoenix,,,"1,086 ft (331 m)",,,,,,,,,,,04-55000,,,,,,,,,,,,,,,,,,"44784, 2411414",,,,,,,,,Phoenix City Council,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kate Gallego,,,,,,,,,,,,,,,,,,,,,Council-Manager,,,,,,,,,,,,,,,,,,,"February 25, 1881",,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,Phoenix Sky Harbor International Airport,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Phoenician,"3,119.94/sq mi (1,204.61/km2)",,,,,,"1,626,078",,,,,,,,,"4,737,270 (US: 12th)",,,,,,,US: 5th,"1,445,632",,,,,,,"3,629,114 (US: 12th)",,,,,,,,,,,,,,,,,,,,,Deer Valley AirportPhoenix–Mesa Gateway Airport,1867,,,,,,,,,,, Arizona,     ,,UTC−7 (MST (no DST)),,,,,,,,,,,,www.phoenix.gov,,85001–85099,,,,
5,,,,,,,,,,,,,,,134.28 sq mi (347.78 km2),,,,,,,,,,,,,,8.42 sq mi (21.81 km2),"215, 267, 445",,,,,,,,,,,,,,,"SEPTA Regional Rail, NJ Transit",,,, United States,Philadelphia,,,,,Philadelphia,,,39 ft (12 m),,,,,,,,,,,42-60000,,,,,,,"October 27, 1682",,William Penn,,,,,,,,1215531,,,,,,,,,,Philadelphia City Council,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jim Kenney (D),,,,,,,,,,,,,,,,,,,,,"Mayor–council, consolidated city-county",,,,,,,,,,,,,,,Kingdom of Great Britain Province of Pennsylvania,Kingdom of EnglandKingdom of Great Britain,,,"October 25, 1701",,,,,,,,,,,,,,,,,,,,,,,,  ,,,,,,,,,,,Philadelphia International Airport,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,584,138",,,"7,206,807 (US: 8th)",,,,,,Philadelphian,"11,797.27/sq mi (4,554.95/km2)",,,,,,"1,580,863",,,,,,,,,"6,096,120 (US: 8th)",,,,,,,US city: 6th,,,,,UTC-4 (EDT),,,,,,,,,,,,,,"Broad Street Line, Market–Frankford Line, PATCO Speedline",,,,,,,,,,,,,,,,,,,,,, Pennsylvania,,,UTC-5 (EST),,,,,,  ,,,,,,www.phila.gov,,"19092-19093, 19099, 191xx",,,142.70 sq mi (369.59 km2),
6,,"465.4 sq mi (1,205.4 km2)",,,,,,,,,,,,,"460.93 sq mi (1,193.7 km2)",,,,,,,,,,,,,,4.5 sq mi (11.7 km2),"210 (majority), 830 (portions), 726",,,,,,,,,,,,,,,,,,"Bexar, Medina, Comal", United States,,,,,,San Antonio,,,650 ft (198 m),,,,,,,,,,,,,,,,,"May 1, 1718",,,,,,,,,,,,,,,,,,,,,San Antonio City Council,,,,,,,,,,," List • Robert C. Treviño• William ""Cruz"" Shaw• Rebecca Viagran• Rey Saldaña• Shirley Gonzales• Greg Brockhouse• Ana Sandoval• Manny Pelaez• John Courage• Clayton Perry ",,Erik Walsh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ron Nirenberg (I),,,,,,,,,,,,,,,,,,,,,Council-Manager,,,,,,,,,,,,,,,,,,,"June 5, 1837",,,,,,,,,,,,,,,,,,,,,,,,   ,,,,,,,,,,,,,,,,,,,,,,,,,Saint Anthony of Padua,,,,,,,,,,,"1,511,946 (7th)",,,,,,,,,,,,,,,San Antonian,"3,241.76/sq mi (1,238.2/km2)",,,,,,,,,,,,,,,"2,473,974 (24th)",,,,,,,,,,,,UTC−5 (CDT),,,,,,,San Antonio International AirportSAT (Major/International),,,,,,,,,,,,,,,,,,,,,,,,,,,,, Texas,,,UTC−6 (CST),,,,,,   ,,,,,,www.SanAntonio.gov,,"78201-66, 78268-70, 78275, 78278-80, 78283-89, 78291-99",,,,
7,,,,,,,,,,,,,,,325.19 sq mi (842.25 km2),,,,,,,,,,,,,,47.20 sq mi (122.24 km2)  12.68%,"619, 858",,,,,,,,,,,,,,,,,,, United States, San Diego,,,,,San Diego,San Diegan,,62 ft (19 m),,,"July 16, 1769",,,,,,,,06-66000,,,,,,,,,,,,,,,,,"1661377, 2411782",,,,,,,,,,San Diego City Council,,,,,,,Mara Elliott,,,, List • Barbara BryD-District 1• Jennifer CampbellD-District 2• Chris WardD-District 3• Monica MontgomeryD-District 4• Mark KerseyI-District 5• Chris CateR-District 6• Scott ShermanR-District 7• Vivian MorenoD-District 8• Georgette GomezD-District 9 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kevin Faulconer (R),,,,,,,,,,, List • Brian MaienscheinD-77th District• Todd GloriaD-78th District• Shirley WeberD-79th District• Lorena Gonzalez FletcherD-80th District ,,, List • Brian JonesR-38th District• Toni AtkinsD-39th District• Ben HuesoD-40th District ,,,,,,,Strong mayor,,,,,,,,,,,"1,591 ft (485 m)",,,,,,,,"March 27, 1850",,,,,,,,,,,,,,,,,,,,,,,,      Former Routes    Planned Routes  ,,,,,,,,0 ft (0 m),,,,,,,,,,,,,,,,,Saint Didacus of Alcalá,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,325.50/sq mi (1,670.08/km2)",,,,,,"1,419,516",,,,,,,,,"3,317,749 (17th)",,,,,,,2nd in California8th in the United States,,,,,UTC−7 (PDT),"1,307,402",,"2,956,746 (15th)",,,,San Diego International Airport,,,,,,,   ,,,,,,,,,,Tijuana International Airport  Palomar Airport,,,,,,,,,,,, California,         ,,UTC−8 (Pacific),,,,,,  Former Routes    ,,,,,,SanDiego.gov,,"92101–92124, 92126–92132, 92134–92140, 92142, 92143, 92145, 92147, 92149–92155, 92158–92161, 92163, 92165–92179, 92182, 92186, 92187, 92190–92199",,,,372.39 sq mi (964.50 km2)
8,,385.8 sq mi (999.3 km2),,,,,,,,,,,,,340.5 sq mi (881.9 km2),,,,,,,,,,,"1,407.2 sq mi (3,645 km2)",,,45.3 sq mi (117.4 km2),"214, 469, 972, 682, 817",,,,,,,,,,,,,,,,,,"Dallas, Collin, Denton, Rockwall, Kaufman", United States,,,,,,Dallas,,,430 ft (131 m),,,,,,,,,,,48-19000,,,,,,,,,,,,,,,,,1380944,,,,,,,,,,Dallas City Council,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mike Rawlings (D),,,,,,,,,,,,,,,,,,,,,Council–Manager,,,,,,,,,,,,,,,,,,,"February 2, 1856",,,,,,,,,,,,,,,,,,,,,,,,    ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,197,816",,,,,,,,,"7,673,305 (7th)",,,,,,Dallasite,"3,876/sq mi (1,497/km2)",,,,,,"1,341,075",,,,,,,,,"7,233,323 (4th)",,,,,,,(US: 9th),,,,,UTC−5 (Central),,,"5,121,892 (6th)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Texas,,,UTC−6 (Central),,,,,,    ,,,,,,dallascityhall.com,," ZIP Codes 75201-75212, 75214-75238, 75240-75254, 75258, 75260-75267, 75270, 75275, 75277, 75283-75287, 75301, 75303, 75310, 75312-75313, 75315, 75320, 75323, 75326, 75334, 75336, 75339-75340, 75342-75344, 75354-75360, 75367-75368, 75370-75374, 75376, 75378-75382, 75387, 75389-75394 ",,,,
9,,180.52 sq mi (467.55 km2),,,,,,,,,,,,,177.51 sq mi (459.75 km2),"2,694.61 sq mi (6,979 km2)",,,,,,,,,,342.27 sq mi (741.03 km2),,,3.01 sq mi (7.80 km2)  1.91%,408/669,,,,,,,,,,,,,,,"Caltrain, Altamont Corridor Express",,,, United States, Santa Clara,,,,San Jose-San Francisco-Oakland,San Jose,San Josean(s)  Josefino/a(s),,82 ft (25 m),,,,,,,,,,,06-68000,,,,,,,,Pueblo de San José de Guadalupe,,,,,,,,,"1654952, 2411790",,,,,,,, List Kansen Chu (D)Ash Kalra (D)Evan Low (D)Mark Stone (D) ,,San Jose City Council,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sam Liccardo (D),,,,,,,,,,,,,,,,,,,,,Council–manager,,,,,,,,,,,,,,,,,,,"March 27, 1850",,,,,,,,,,,,,,,,,,,,,,,,  ,,,,,,,,0 ft (0 m),,,,,,,,,San Jose-Sunnyvale-Santa Clara,,,,,,,,Saint Joseph,,,,,,,,,,,"945,942",,,,,,,,,"8,837,789 (5th)",,,,,,,"5,776.3/sq mi (2,230.24/km2)",,,,,,"1,035,317",,,,,,,,,"1,998,463 (34th)",,,,,,,3rd in California10th in the United States,,,,,UTC−7 (Pacific Daylight Time),,,"1,894,389 (29th)",,,,San Jose International Airport,,,,"November 29, 1777",,,VTA Light Rail,,,San Francisco Bay Area,,,,,,,,,,,,,,,,,,, California,     ,,UTC−8 (Pacific Time Zone),,,,,,,,,,,,www.sanjoseca.gov,," List 95002 95008 95101 95103 95106 95108–95113 95115–95141 95148 95150–95161 95164, 95170 95172 95173 95190–9519  95196  ",,,,
